,Наименование вакансии,Зарплата MIN,Зарплата MAX,Ссылка на вакансию,Работодатель,Расположение,Сайт
0,Управляющий / Директор / Менеджер магазина DESEO в ТЦ Лента (м. Говорово),,,https://www.superjob.ru/vakansii/upravlyayuschij-28755091.html,"«Модный Континент» (бренды INCITY, DESEO и Slip&sleep)","Москва, Говорово",SuperJobs
1,Менеджер по работе с клиентами,40000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-po-rabote-s-klientami-32417843.html,ЗАМОСКВОРЕЧЬЕ,"Москва, Рижская, Комсомольская",SuperJobs
2,Менеджер по продажам / Account Manager,75000.0,,https://www.superjob.ru/vakansii/menedzher-po-prodazham-32561781.html,TNT Express Worldwide,"Москва, Строгино",SuperJobs
3,Менеджер по экспортным продажам,80000.0,,https://www.superjob.ru/vakansii/menedzher-po-eksportnym-prodazham-27618992.html,БЕСТ-фарм,"Москва, Петровско-Разумовская, Алтуфьево",SuperJobs
4,Менеджер по закупкам (с опытом работы на фармацевтическом рынке),80000.0,,https://www.superjob.ru/vakansii/menedzher-po-zakupkam-28099325.html,БЕСТ-фарм,Москва,SuperJobs
5,Менеджер в отдел аренды квартир и комнат,40000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-v-otdel-arendy-kvartir-i-komnat-28982821.html,,,SuperJobs
6,Менеджер по коммерческой недвижимости,100000.0,,https://www.superjob.ru/vakansii/menedzher-po-kommercheskoj-nedvizhimosti-29036970.html,ЗАМОСКВОРЕЧЬЕ,"Москва, Маяковская, Белорусская",SuperJobs
7,Менеджер по продажам бизнес-клиентам,57000.0,100000.0,https://www.superjob.ru/vakansii/menedzher-po-prodazham-biznes-klientam-30568284.html,Эр-Телеком Холдинг,"Москва, Аэропорт, Динамо",SuperJobs
8,Менеджер по продажам оборудования,60000.0,,https://www.superjob.ru/vakansii/menedzher-po-prodazham-oborudovaniya-11820504.html,"НПО ""ЛАТЭМИ""","Москва, Бутырская",SuperJobs
9,Менеджер по продажам,35000.0,180000.0,https://www.superjob.ru/vakansii/menedzher-po-prodazham-32523782.html,Торговый дом Идеал,"Москва, Волоколамская, Митино",SuperJobs
10,Менеджер по работе с недвижимостью / Агент (м. Таганская),55000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-po-rabote-s-nedvizhimostyu-25165113.html,Простор-Риэлти,"Москва, Таганская",SuperJobs
11,Менеджер по продажам,55000.0,,https://www.superjob.ru/vakansii/menedzher-po-prodazham-32109993.html,Гранит,Москва,SuperJobs
12,Менеджер по продажам / Агент / Риелтор (новый офис) м. Маяковская,50000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-po-prodazham-26310426.html,Простор-Риэлти,"Москва, Цветной бульвар",SuperJobs
13,Менеджер по продажам,70000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-po-prodazham-26310452.html,Простор-Риэлти,"Москва, Цветной бульвар",SuperJobs
14,Менеджер (с обучением),75000.0,,https://www.superjob.ru/vakansii/menedzher-30127071.html,Простор-Риэлти,Москва,SuperJobs
15,"Менеджер по работе с клиентами в недвижимости (м. Маяковская, м. Цветной бульвар, м. Первомайская)",82000.0,,https://www.superjob.ru/vakansii/menedzher-po-rabote-s-klientami-v-nedvizhimosti-30127114.html,Простор-Риэлти,Москва,SuperJobs
16,Менеджер по работе с клиентами в сфере купли-продажи недвижимости,,,https://www.superjob.ru/vakansii/menedzher-po-rabote-s-klientami-v-sfere-kupli-prodazhi-nedvizhimosti-30128957.html,Простор-Риэлти,Москва,SuperJobs
17,Менеджер / Стажер по продажам недвижимости (Цветной бульвар),75000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-30012615.html,Простор-Риэлти,Москва,SuperJobs
18,Менеджер прямых продаж,,,https://www.superjob.ru/vakansii/menedzher-pryamyh-prodazh-32094082.html,Ростелеком,"Москва, Люблино",SuperJobs
19,Менеджер по продажам,50000.0,,https://www.superjob.ru/vakansii/menedzher-po-prodazham-32463276.html,Тотал,"Москва, Бибирево, Алтуфьево",SuperJobs
20,Управляющий / Директор / Менеджер магазина DESEO в ТЦ Лента (м. Говорово),,,https://www.superjob.ru/vakansii/upravlyayuschij-28755091.html,"«Модный Континент» (бренды INCITY, DESEO и Slip&sleep)","Москва, Говорово",SuperJobs
21,Менеджер по работе с клиентами,40000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-po-rabote-s-klientami-32417843.html,ЗАМОСКВОРЕЧЬЕ,"Москва, Рижская, Комсомольская",SuperJobs
22,Менеджер по продажам / Account Manager,75000.0,,https://www.superjob.ru/vakansii/menedzher-po-prodazham-32561781.html,TNT Express Worldwide,"Москва, Строгино",SuperJobs
23,Менеджер по экспортным продажам,80000.0,,https://www.superjob.ru/vakansii/menedzher-po-eksportnym-prodazham-27618992.html,БЕСТ-фарм,"Москва, Петровско-Разумовская, Алтуфьево",SuperJobs
24,Менеджер по закупкам (с опытом работы на фармацевтическом рынке),80000.0,,https://www.superjob.ru/vakansii/menedzher-po-zakupkam-28099325.html,БЕСТ-фарм,Москва,SuperJobs
25,Менеджер в отдел аренды квартир и комнат,40000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-v-otdel-arendy-kvartir-i-komnat-28982821.html,,,SuperJobs
26,Менеджер по коммерческой недвижимости,100000.0,,https://www.superjob.ru/vakansii/menedzher-po-kommercheskoj-nedvizhimosti-29036970.html,ЗАМОСКВОРЕЧЬЕ,"Москва, Маяковская, Белорусская",SuperJobs
27,Менеджер по продажам бизнес-клиентам,57000.0,100000.0,https://www.superjob.ru/vakansii/menedzher-po-prodazham-biznes-klientam-30568284.html,Эр-Телеком Холдинг,"Москва, Аэропорт, Динамо",SuperJobs
28,Менеджер по продажам оборудования,60000.0,,https://www.superjob.ru/vakansii/menedzher-po-prodazham-oborudovaniya-11820504.html,"НПО ""ЛАТЭМИ""","Москва, Бутырская",SuperJobs
29,Менеджер по продажам,35000.0,180000.0,https://www.superjob.ru/vakansii/menedzher-po-prodazham-32523782.html,Торговый дом Идеал,"Москва, Волоколамская, Митино",SuperJobs
30,Менеджер по работе с недвижимостью / Агент (м. Таганская),55000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-po-rabote-s-nedvizhimostyu-25165113.html,Простор-Риэлти,"Москва, Таганская",SuperJobs
